Results of Simulation 1

Time	Q	dQ
118.2	1.6202	-0.16202
118.4	1.58812	-0.158812
118.6	1.55667	-0.155667
118.8	1.52585	-0.152585
119	1.49563	-0.149563
119.2	1.46602	-0.146602
119.4	1.43699	-0.143699
119.6	1.40854	-0.140854
119.8	1.38064	-0.138064
120	1.35331	-0.135331
120.2	1.32651	-0.132651
120.4	1.30024	-0.130024
120.6	1.2745	-0.12745
120.8	1.24926	-0.124926
121	1.22452	-0.122452
121.2	1.20027	-0.120027
121.4	1.17651	-0.117651
121.6	1.15321	-0.115321
121.8	1.13038	-0.113038
122	1.10799	-0.110799
122.2	1.08605	-0.108605
122.4	1.06455	-0.106455
122.6	1.04347	-0.104347
122.8	1.02281	-0.102281
123	1.00255	-0.100255
123.2	0.982702	-0.0982702
123.4	0.963243	-0.0963243
123.6	0.944169	-0.0944169
123.8	0.925474	-0.0925474
124	0.907148	-0.0907148
124.2	0.889185	-0.0889185
124.4	0.871578	-0.0871578
124.6	0.85432	-0.085432
124.8	0.837403	-0.0837403
125	0.820821	-0.0820821
125.2	0.804568	-0.0804568
125.4	0.788637	-0.0788637
125.6	0.77302	-0.077302
125.8	0.757714	-0.0757714
126	0.74271	-0.074271
126.2	0.728003	-0.0728003
126.4	0.713588	-0.0713588
126.6	0.699458	-0.0699458
126.8	0.685608	-0.0685608
127	0.672032	-0.0672032
127.2	0.658725	-0.0658725
127.4	0.645681	-0.0645681
127.6	0.632896	-0.0632896
127.8	0.620363	-0.0620363
128	0.608079	-0.0608079
128.2	0.596039	-0.0596039
128.4	0.584236	-0.0584236
128.6	0.572668	-0.0572668
128.8	0.561328	-0.0561328
129	0.550213	-0.0550213
129.2	0.539318	-0.0539318
129.4	0.528639	-0.0528639
129.6	0.518171	-0.0518171
129.8	0.507911	-0.0507911
130	0.497853	-0.0497853
130.2	0.487995	-0.0487995
130.4	0.478332	-0.0478332
130.6	0.468861	-0.0468861
130.8	0.459577	-0.0459577
131	0.450476	-0.0450476
131.2	0.441556	-0.0441556
131.4	0.432813	-0.0432813
131.6	0.424243	-0.0424243
131.8	0.415842	-0.0415842
132	0.407608	-0.0407608
132.2	0.399537	-0.0399537
132.4	0.391625	-0.0391625
