Results of Simulation 1

Time	Q	dQ
134.2	0.327107	-0.0327107
134.4	0.32063	-0.032063
134.6	0.314281	-0.0314281
134.8	0.308057	-0.0308057
135	0.301957	-0.0301957
135.2	0.295978	-0.0295978
135.4	0.290118	-0.0290118
135.6	0.284373	-0.0284373
135.8	0.278742	-0.0278742
136	0.273222	-0.0273222
136.2	0.267812	-0.0267812
136.4	0.262509	-0.0262509
136.6	0.257311	-0.0257311
136.8	0.252216	-0.0252216
137	0.247222	-0.0247222
137.2	0.242327	-0.0242327
137.4	0.237528	-0.0237528
137.6	0.232825	-0.0232825
137.8	0.228215	-0.0228215
138	0.223696	-0.0223696
138.2	0.219266	-0.0219266
138.4	0.214924	-0.0214924
138.6	0.210669	-0.0210669
138.8	0.206497	-0.0206497
139	0.202408	-0.0202408
139.2	0.1984	-0.01984
139.4	0.194472	-0.0194472
139.6	0.190621	-0.0190621
139.8	0.186846	-0.0186846
140	0.183146	-0.0183146
140.2	0.17952	-0.017952
140.4	0.175965	-0.0175965
140.6	0.172481	-0.0172481
140.8	0.169065	-0.0169065
141	0.165718	-0.0165718
141.2	0.162436	-0.0162436
141.4	0.15922	-0.015922
141.6	0.156067	-0.0156067
141.8	0.152977	-0.0152977
142	0.149948	-0.0149948
142.2	0.146978	-0.0146978
142.4	0.144068	-0.0144068
142.6	0.141215	-0.0141215
142.8	0.138419	-0.0138419
143	0.135678	-0.0135678
143.2	0.132992	-0.0132992
143.4	0.130358	-0.0130358
143.6	0.127777	-0.0127777
143.8	0.125247	-0.0125247
144	0.122767	-0.0122767
144.2	0.120336	-0.0120336
144.4	0.117953	-0.0117953
144.6	0.115617	-0.0115617
144.8	0.113328	-0.0113328
145	0.111084	-0.0111084
145.2	0.108884	-0.0108884
145.4	0.106728	-0.0106728
145.6	0.104615	-0.0104615
145.8	0.102543	-0.0102543
146	0.100513	-0.0100513
146.2	0.0985226	-0.00985226
146.4	0.0965717	-0.00965717
146.6	0.0946595	-0.00946595
146.8	0.0927851	-0.00927851
147	0.0909478	-0.00909478
147.2	0.089147	-0.0089147
